Categoría: Todas las categorías

Semana,diet: (Todo el mundo)
2016-07-10,61
2016-07-17,61
2016-07-24,62
2016-07-31,64
2016-08-07,64
2016-08-14,60
2016-08-21,62
2016-08-28,61
2016-09-04,61
2016-09-11,62
2016-09-18,60
2016-09-25,58
2016-10-02,55
2016-10-09,55
2016-10-16,57
2016-10-23,54
2016-10-30,56
2016-11-06,52
2016-11-13,56
2016-11-20,48
2016-11-27,56
2016-12-04,51
2016-12-11,48
2016-12-18,45
2016-12-25,58
2017-01-01,82
2017-01-08,76
2017-01-15,72
2017-01-22,73
2017-01-29,81
2017-02-05,85
2017-02-12,77
2017-02-19,78
2017-02-26,73
2017-03-05,73
2017-03-12,70
2017-03-19,72
2017-03-26,73
2017-04-02,68
2017-04-09,67
2017-04-16,67
2017-04-23,71
2017-04-30,68
2017-05-07,66
2017-05-14,66
2017-05-21,68
2017-05-28,67
2017-06-04,66
2017-06-11,64
2017-06-18,66
2017-06-25,66
2017-07-02,70
2017-07-09,71
2017-07-16,70
2017-07-23,70
2017-07-30,71
2017-08-06,68
2017-08-13,66
2017-08-20,61
2017-08-27,61
2017-09-03,64
2017-09-10,62
2017-09-17,63
2017-09-24,63
2017-10-01,61
2017-10-08,61
2017-10-15,61
2017-10-22,64
2017-10-29,59
2017-11-05,62
2017-11-12,61
2017-11-19,52
2017-11-26,58
2017-12-03,55
2017-12-10,54
2017-12-17,49
2017-12-24,59
2017-12-31,86
2018-01-07,85
2018-01-14,80
2018-01-21,77
2018-01-28,79
2018-02-04,76
2018-02-11,72
2018-02-18,74
2018-02-25,72
2018-03-04,71
2018-03-11,73
2018-03-18,80
2018-03-25,83
2018-04-01,85
2018-04-08,80
2018-04-15,79
2018-04-22,77
2018-04-29,79
2018-05-06,77
2018-05-13,73
2018-05-20,74
2018-05-27,75
2018-06-03,73
2018-06-10,71
2018-06-17,69
2018-06-24,71
2018-07-01,71
2018-07-08,76
2018-07-15,76
2018-07-22,78
2018-07-29,75
2018-08-05,72
2018-08-12,71
2018-08-19,68
2018-08-26,67
2018-09-02,67
2018-09-09,67
2018-09-16,67
2018-09-23,67
2018-09-30,67
2018-10-07,65
2018-10-14,63
2018-10-21,61
2018-10-28,62
2018-11-04,62
2018-11-11,61
2018-11-18,55
2018-11-25,62
2018-12-02,58
2018-12-09,56
2018-12-16,52
2018-12-23,60
2018-12-30,100
2019-01-06,97
2019-01-13,84
2019-01-20,78
2019-01-27,77
2019-02-03,74
2019-02-10,70
2019-02-17,72
2019-02-24,72
2019-03-03,73
2019-03-10,70
2019-03-17,73
2019-03-24,73
2019-03-31,80
2019-04-07,71
2019-04-14,71
2019-04-21,74
2019-04-28,72
2019-05-05,67
2019-05-12,68
2019-05-19,63
2019-05-26,63
2019-06-02,66
2019-06-09,64
2019-06-16,65
2019-06-23,64
2019-06-30,63
2019-07-07,66
2019-07-14,68
2019-07-21,68
2019-07-28,65
2019-08-04,64
2019-08-11,64
2019-08-18,62
2019-08-25,62
2019-09-01,61
2019-09-08,61
2019-09-15,61
2019-09-22,60
2019-09-29,59
2019-10-06,58
2019-10-13,60
2019-10-20,63
2019-10-27,59
2019-11-03,62
2019-11-10,59
2019-11-17,59
2019-11-24,52
2019-12-01,54
2019-12-08,52
2019-12-15,49
2019-12-22,52
2019-12-29,76
2020-01-05,82
2020-01-12,71
2020-01-19,72
2020-01-26,66
2020-02-02,64
2020-02-09,63
2020-02-16,67
2020-02-23,66
2020-03-01,59
2020-03-08,53
2020-03-15,38
2020-03-22,38
2020-03-29,42
2020-04-05,45
2020-04-12,51
2020-04-19,55
2020-04-26,56
2020-05-03,62
2020-05-10,59
2020-05-17,60
2020-05-24,61
2020-05-31,61
2020-06-07,62
2020-06-14,59
2020-06-21,60
2020-06-28,57
2020-07-05,60
2020-07-12,60
2020-07-19,60
2020-07-26,57
2020-08-02,60
2020-08-09,58
2020-08-16,56
2020-08-23,58
2020-08-30,57
2020-09-06,54
2020-09-13,55
2020-09-20,54
2020-09-27,53
2020-10-04,56
2020-10-11,52
2020-10-18,51
2020-10-25,51
2020-11-01,46
2020-11-08,48
2020-11-15,48
2020-11-22,44
2020-11-29,45
2020-12-06,45
2020-12-13,42
2020-12-20,40
2020-12-27,57
2021-01-03,64
2021-01-10,59
2021-01-17,56
2021-01-24,56
2021-01-31,56
2021-02-07,57
2021-02-14,52
2021-02-21,55
2021-02-28,56
2021-03-07,56
2021-03-14,50
2021-03-21,52
2021-03-28,52
2021-04-04,50
2021-04-11,50
2021-04-18,50
2021-04-25,48
2021-05-02,50
2021-05-09,47
2021-05-16,51
2021-05-23,51
2021-05-30,52
2021-06-06,50
2021-06-13,49
2021-06-20,48
2021-06-27,46
