Categoría: Todas las categorías

Semana,gym: (Todo el mundo)
2016-07-10,100
2016-07-17,93
2016-07-24,93
2016-07-31,89
2016-08-07,85
2016-08-14,82
2016-08-21,82
2016-08-28,83
2016-09-04,85
2016-09-11,80
2016-09-18,76
2016-09-25,74
2016-10-02,74
2016-10-09,72
2016-10-16,72
2016-10-23,70
2016-10-30,72
2016-11-06,70
2016-11-13,72
2016-11-20,71
2016-11-27,71
2016-12-04,68
2016-12-11,67
2016-12-18,70
2016-12-25,76
2017-01-01,100
2017-01-08,90
2017-01-15,91
2017-01-22,85
2017-01-29,87
2017-02-05,81
2017-02-12,78
2017-02-19,84
2017-02-26,84
2017-03-05,83
2017-03-12,77
2017-03-19,78
2017-03-26,78
2017-04-02,76
2017-04-09,77
2017-04-16,75
2017-04-23,74
2017-04-30,77
2017-05-07,75
2017-05-14,74
2017-05-21,77
2017-05-28,76
2017-06-04,76
2017-06-11,76
2017-06-18,84
2017-06-25,85
2017-07-02,84
2017-07-09,83
2017-07-16,82
2017-07-23,81
2017-07-30,85
2017-08-06,82
2017-08-13,82
2017-08-20,78
2017-08-27,81
2017-09-03,84
2017-09-10,81
2017-09-17,79
2017-09-24,77
2017-10-01,79
2017-10-08,76
2017-10-15,74
2017-10-22,74
2017-10-29,73
2017-11-05,75
2017-11-12,76
2017-11-19,75
2017-11-26,72
2017-12-03,72
2017-12-10,69
2017-12-17,71
2017-12-24,79
2017-12-31,98
2018-01-07,96
2018-01-14,92
2018-01-21,90
2018-01-28,91
2018-02-04,84
2018-02-11,78
2018-02-18,81
2018-02-25,80
2018-03-04,81
2018-03-11,81
2018-03-18,81
2018-03-25,85
2018-04-01,86
2018-04-08,82
2018-04-15,75
2018-04-22,76
2018-04-29,76
2018-05-06,76
2018-05-13,75
2018-05-20,72
2018-05-27,79
2018-06-03,77
2018-06-10,77
2018-06-17,78
2018-06-24,78
2018-07-01,79
2018-07-08,77
2018-07-15,81
2018-07-22,82
2018-07-29,85
2018-08-05,82
2018-08-12,80
2018-08-19,80
2018-08-26,81
2018-09-02,85
2018-09-09,81
2018-09-16,79
2018-09-23,80
2018-09-30,76
2018-10-07,76
2018-10-14,73
2018-10-21,71
2018-10-28,71
2018-11-04,74
2018-11-11,74
2018-11-18,79
2018-11-25,74
2018-12-02,72
2018-12-09,72
2018-12-16,69
2018-12-23,83
2018-12-30,96
2019-01-06,97
2019-01-13,89
2019-01-20,86
2019-01-27,84
2019-02-03,84
2019-02-10,79
2019-02-17,81
2019-02-24,81
2019-03-03,82
2019-03-10,80
2019-03-17,82
2019-03-24,79
2019-03-31,77
2019-04-07,76
2019-04-14,75
2019-04-21,75
2019-04-28,76
2019-05-05,74
2019-05-12,73
2019-05-19,76
2019-05-26,78
2019-06-02,81
2019-06-09,80
2019-06-16,83
2019-06-23,80
2019-06-30,80
2019-07-07,81
2019-07-14,80
2019-07-21,79
2019-07-28,80
2019-08-04,82
2019-08-11,83
2019-08-18,82
2019-08-25,81
2019-09-01,88
2019-09-08,83
2019-09-15,79
2019-09-22,80
2019-09-29,81
2019-10-06,78
2019-10-13,76
2019-10-20,73
2019-10-27,74
2019-11-03,80
2019-11-10,78
2019-11-17,83
2019-11-24,83
2019-12-01,77
2019-12-08,75
2019-12-15,74
2019-12-22,82
2019-12-29,98
2020-01-05,100
2020-01-12,92
2020-01-19,92
2020-01-26,88
2020-02-02,84
2020-02-09,84
2020-02-16,86
2020-02-23,86
2020-03-01,84
2020-03-08,83
2020-03-15,92
2020-03-22,69
2020-03-29,61
2020-04-05,57
2020-04-12,57
2020-04-19,56
2020-04-26,57
2020-05-03,59
2020-05-10,58
2020-05-17,61
2020-05-24,61
2020-05-31,61
2020-06-07,66
2020-06-14,70
2020-06-21,68
2020-06-28,69
2020-07-05,67
2020-07-12,66
2020-07-19,67
2020-07-26,75
2020-08-02,75
2020-08-09,70
2020-08-16,74
2020-08-23,72
2020-08-30,77
2020-09-06,74
2020-09-13,72
2020-09-20,71
2020-09-27,70
2020-10-04,71
2020-10-11,70
2020-10-18,67
2020-10-25,67
2020-11-01,61
2020-11-08,64
2020-11-15,62
2020-11-22,63
2020-11-29,66
2020-12-06,64
2020-12-13,63
2020-12-20,60
2020-12-27,70
2021-01-03,71
2021-01-10,64
2021-01-17,65
2021-01-24,64
2021-01-31,62
2021-02-07,62
2021-02-14,62
2021-02-21,64
2021-02-28,66
2021-03-07,65
2021-03-14,64
2021-03-21,69
2021-03-28,67
2021-04-04,69
2021-04-11,74
2021-04-18,68
2021-04-25,69
2021-05-02,70
2021-05-09,69
2021-05-16,71
2021-05-23,69
2021-05-30,72
2021-06-06,74
2021-06-13,72
2021-06-20,73
2021-06-27,74
