Categoría: Todas las categorías

Semana,summer: (Todo el mundo)
2016-07-10,63
2016-07-17,60
2016-07-24,54
2016-07-31,57
2016-08-07,74
2016-08-14,67
2016-08-21,49
2016-08-28,34
2016-09-04,30
2016-09-11,26
2016-09-18,24
2016-09-25,21
2016-10-02,21
2016-10-09,22
2016-10-16,21
2016-10-23,22
2016-10-30,21
2016-11-06,20
2016-11-13,21
2016-11-20,20
2016-11-27,22
2016-12-04,21
2016-12-11,21
2016-12-18,21
2016-12-25,23
2017-01-01,26
2017-01-08,27
2017-01-15,29
2017-01-22,29
2017-01-29,30
2017-02-05,29
2017-02-12,29
2017-02-19,33
2017-02-26,34
2017-03-05,36
2017-03-12,36
2017-03-19,40
2017-03-26,42
2017-04-02,44
2017-04-09,45
2017-04-16,47
2017-04-23,47
2017-04-30,49
2017-05-07,49
2017-05-14,56
2017-05-21,61
2017-05-28,64
2017-06-04,65
2017-06-11,71
2017-06-18,86
2017-06-25,67
2017-07-02,73
2017-07-09,68
2017-07-16,58
2017-07-23,50
2017-07-30,51
2017-08-06,48
2017-08-13,40
2017-08-20,37
2017-08-27,31
2017-09-03,27
2017-09-10,24
2017-09-17,24
2017-09-24,22
2017-10-01,21
2017-10-08,21
2017-10-15,21
2017-10-22,20
2017-10-29,20
2017-11-05,20
2017-11-12,20
2017-11-19,19
2017-11-26,20
2017-12-03,21
2017-12-10,20
2017-12-17,21
2017-12-24,22
2017-12-31,26
2018-01-07,26
2018-01-14,27
2018-01-21,28
2018-01-28,29
2018-02-04,31
2018-02-11,32
2018-02-18,33
2018-02-25,34
2018-03-04,35
2018-03-11,35
2018-03-18,40
2018-03-25,39
2018-04-01,40
2018-04-08,43
2018-04-15,47
2018-04-22,47
2018-04-29,50
2018-05-06,55
2018-05-13,55
2018-05-20,60
2018-05-27,68
2018-06-03,68
2018-06-10,65
2018-06-17,77
2018-06-24,66
2018-07-01,71
2018-07-08,67
2018-07-15,62
2018-07-22,55
2018-07-29,51
2018-08-05,49
2018-08-12,41
2018-08-19,37
2018-08-26,32
2018-09-02,31
2018-09-09,25
2018-09-16,25
2018-09-23,21
2018-09-30,23
2018-10-07,21
2018-10-14,21
2018-10-21,20
2018-10-28,21
2018-11-04,20
2018-11-11,20
2018-11-18,20
2018-11-25,21
2018-12-02,22
2018-12-09,21
2018-12-16,21
2018-12-23,22
2018-12-30,26
2019-01-06,28
2019-01-13,27
2019-01-20,28
2019-01-27,29
2019-02-03,28
2019-02-10,29
2019-02-17,31
2019-02-24,32
2019-03-03,34
2019-03-10,35
2019-03-17,37
2019-03-24,39
2019-03-31,42
2019-04-07,47
2019-04-14,49
2019-04-21,49
2019-04-28,52
2019-05-05,51
2019-05-12,54
2019-05-19,59
2019-05-26,64
2019-06-02,68
2019-06-09,64
2019-06-16,78
2019-06-23,68
2019-06-30,71
2019-07-07,71
2019-07-14,59
2019-07-21,55
2019-07-28,49
2019-08-04,46
2019-08-11,43
2019-08-18,40
2019-08-25,35
2019-09-01,29
2019-09-08,26
2019-09-15,25
2019-09-22,24
2019-09-29,23
2019-10-06,24
2019-10-13,22
2019-10-20,23
2019-10-27,24
2019-11-03,22
2019-11-10,23
2019-11-17,23
2019-11-24,21
2019-12-01,21
2019-12-08,21
2019-12-15,21
2019-12-22,23
2019-12-29,25
2020-01-05,27
2020-01-12,27
2020-01-19,27
2020-01-26,27
2020-02-02,28
2020-02-09,28
2020-02-16,31
2020-02-23,32
2020-03-01,33
2020-03-08,30
2020-03-15,25
2020-03-22,26
2020-03-29,27
2020-04-05,30
2020-04-12,32
2020-04-19,35
2020-04-26,37
2020-05-03,39
2020-05-10,42
2020-05-17,47
2020-05-24,51
2020-05-31,48
2020-06-07,50
2020-06-14,78
2020-06-21,59
2020-06-28,46
2020-07-05,48
2020-07-12,42
2020-07-19,42
2020-07-26,38
2020-08-02,36
2020-08-09,35
2020-08-16,31
2020-08-23,28
2020-08-30,28
2020-09-06,26
2020-09-13,23
2020-09-20,22
2020-09-27,19
2020-10-04,18
2020-10-11,17
2020-10-18,18
2020-10-25,17
2020-11-01,16
2020-11-08,17
2020-11-15,18
2020-11-22,17
2020-11-29,18
2020-12-06,17
2020-12-13,17
2020-12-20,18
2020-12-27,19
2021-01-03,19
2021-01-10,21
2021-01-17,20
2021-01-24,21
2021-01-31,23
2021-02-07,22
2021-02-14,23
2021-02-21,27
2021-02-28,29
2021-03-07,29
2021-03-14,29
2021-03-21,31
2021-03-28,35
2021-04-04,36
2021-04-11,35
2021-04-18,38
2021-04-25,40
2021-05-02,40
2021-05-09,40
2021-05-16,46
2021-05-23,49
2021-05-30,58
2021-06-06,59
2021-06-13,61
2021-06-20,100
2021-06-27,55
